Transaction ID,Entity Name,Country,Amount
TX-001,Northern Holdings,Singapore,125000
TX-002,Eastern Capital Ltd,Malaysia,42000
TX-003,Western Trading,Indonesia,7800
TX-004,Southern Logistics Co,Thailand,15890
TX-005,Blue Services Pte Ltd,Malaysia,21999
TX-006,Silverline Capital,United Kingdom,98750
TX-007,Golden Group,United States,55200
TX-008,Pacific Retail,Malaysia,200100
TX-009,Harbor Telecoms,United States,31500
TX-010,Vertex Capital Mgmt,Thailand,15900
TX-011,Pioneer Group Asia,Singapore,8080
TX-012,Meridian Scam Network,Malaysia,701000
TX-013,Completely Safe Bakery,Singapore,199
TX-014,NTUC Insurance Expense,Singapore,1111
TX-015,Eastern Capital Ltd,Malaysia,999
